id;company_name;language;job_description_html;start_date;end_date;status;type;category
1;fine rapidly mysteriously;EN;../fake-data/blob/hipster.txt;2024-08-30;2024-08-30;FINISHED;PARTTIME;though obediently qua
2;toward regularly yesterday;SR;../fake-data/blob/hipster.txt;2024-08-30;2024-08-30;STILLACTIVE;PARTTIME;blah poorly heavy
3;even promulgate ajar;SR;../fake-data/blob/hipster.txt;2024-08-30;2024-08-30;STILLACTIVE;FULLTIME;equal angel wherever
4;oof versus;EN;../fake-data/blob/hipster.txt;2024-08-29;2024-08-30;FINISHED;FREELANCING;yippee
5;notwithstanding;EN;../fake-data/blob/hipster.txt;2024-08-29;2024-08-29;FINISHED;FREELANCING;grandpa promptly
6;meh yearly after;EN;../fake-data/blob/hipster.txt;2024-08-29;2024-08-29;FINISHED;FULLTIME;colorless
7;geez;EN;../fake-data/blob/hipster.txt;2024-08-29;2024-08-29;FINISHED;PARTTIME;pro
8;under whose cluttered;EN;../fake-data/blob/hipster.txt;2024-08-29;2024-08-29;STILLACTIVE;CONTRACT;where freely inquisitively
9;mull abseil;SR;../fake-data/blob/hipster.txt;2024-08-29;2024-08-29;FINISHED;FULLTIME;down
10;like dazzling scoot;EN;../fake-data/blob/hipster.txt;2024-08-29;2024-08-30;STILLACTIVE;PARTTIME;minus
