id;title;description_html;start_date;end_date;status;project_url;category;language
1;utterly pressurization;../fake-data/blob/hipster.txt;2025-08-29;2025-08-30;COMPLETED;interestingly hardcover;silently before as;SR
2;maul;../fake-data/blob/hipster.txt;2025-08-30;2025-08-30;ONGOING;yuck lavish;when before zebra;EN
3;pulse pish;../fake-data/blob/hipster.txt;2025-08-29;2025-08-30;COMPLETED;ew what;as stretch;SR
4;aw;../fake-data/blob/hipster.txt;2025-08-29;2025-08-30;COMPLETED;likewise of;trachoma forever serpentine;EN
5;eek;../fake-data/blob/hipster.txt;2025-08-30;2025-08-30;COMPLETED;distance;usher pretty welcome;EN
6;mortified;../fake-data/blob/hipster.txt;2025-08-30;2025-08-30;ONGOING;inasmuch irrigation almost;possess unlike on;EN
7;unless even;../fake-data/blob/hipster.txt;2025-08-30;2025-08-30;ONGOING;disillusion;oof;EN
8;clueless remunerate;../fake-data/blob/hipster.txt;2025-08-29;2025-08-30;ONGOING;creepy;over among;SR
9;movement awkwardly whether;../fake-data/blob/hipster.txt;2025-08-30;2025-08-30;COMPLETED;uh-huh;mope sympathize surprisingly;SR
10;project;../fake-data/blob/hipster.txt;2025-08-30;2025-08-30;ONGOING;submissive scene networking;or;EN
